Variable,Coefficient,Std.Err,p-value,CI Lower,CI Upper
Intercept,-1.4592145451631469,1.2965660679500484,0.2604002673000386,-4.000437341921954,1.0820082515956604
GenderGroup[T.Male],0.41144484449886065,1.841081700075537,0.8231619868910531,-3.197008980244966,4.0198986692426875
GenderGroup[T.Non-binary/Prefer not to say],-0.7475557561200015,2.266638533562434,0.7415449639487312,-5.190085647873055,3.6949741356330517
autonomy_freedom,0.1290332408801086,0.030034674568984475,1.7379591248188515e-05,0.07016636043751795,0.18790012132269923
autonomy_freedom:GenderGroup[T.Male],0.015799248108208153,0.043676289429614885,0.7175499745386757,-0.06980470615218448,0.10140320236860079
autonomy_freedom:GenderGroup[T.Non-binary/Prefer not to say],0.14770434594213291,0.11681168757395753,0.20606300528929378,-0.0812423546761688,0.37665104656043463
autonomy_interesting,0.10726480769424304,0.029314750427070664,0.0002531293713181931,0.04980895264140437,0.16472066274708172
autonomy_interesting:GenderGroup[T.Male],-0.06751834399486825,0.04334973763550313,0.11934564961172325,-0.1524822684997149,0.017445580509978395
autonomy_interesting:GenderGroup[T.Non-binary/Prefer not to say],-0.015773417938485898,0.13408827448188707,0.9063572037702944,-0.27858160667210574,0.24703477079513392
autonomy_options,0.029482961929732505,0.033670989781992254,0.38123713585560715,-0.03651096536678848,0.09547688922625348
autonomy_options:GenderGroup[T.Male],-0.002894705893990495,0.051597198482037754,0.9552605527684406,-0.10402335662194924,0.09823394483396826
autonomy_options:GenderGroup[T.Non-binary/Prefer not to say],-0.043378847518367306,0.15011573225207236,0.7726048226785472,-0.33760027624528693,0.25084258120855235
competence_matched,0.019746082104300327,0.022287117868642077,0.37562488537800076,-0.023935866237437233,0.06342803044603788
competence_matched:GenderGroup[T.Male],-0.026862649849118722,0.03472767996980359,0.43921308149003724,-0.09492765185656679,0.04120235215832935
competence_matched:GenderGroup[T.Non-binary/Prefer not to say],0.12497003067118863,0.09296833848980779,0.17887680161080155,-0.057244564471363515,0.3071846258137408
competence_capable,0.1943584527654027,0.03285050710645781,3.289601541678842e-09,0.12997264196286828,0.2587442635679371
competence_capable:GenderGroup[T.Male],-0.10600816943460437,0.04972513144782215,0.03301645446466632,-0.20346763619885583,-0.008548702670352917
competence_capable:GenderGroup[T.Non-binary/Prefer not to say],-0.04096798135435117,0.14888856692997804,0.7831943316176331,-0.3327842102468894,0.25084824753818713
competence_competent,0.025161950913516477,0.029657738386302347,0.3962091293888945,-0.03296614818654718,0.08329005001358014
competence_competent:GenderGroup[T.Male],0.10130276016605161,0.0456371484933268,0.026436189483159088,0.011855592762024691,0.19074992757007853
competence_competent:GenderGroup[T.Non-binary/Prefer not to say],-0.03107445556591864,0.1161617901681762,0.7890764158299038,-0.25874738067524294,0.19659846954340565
related_important,0.10520957086751179,0.04140432154703092,0.011052683487476735,0.02405859183101544,0.18636054990400813
related_important:GenderGroup[T.Male],-0.03034853017788368,0.06575567399804207,0.644414978303843,-0.15922728299320305,0.09853022263743567
related_important:GenderGroup[T.Non-binary/Prefer not to say],-0.27026662582354966,0.16195393936090635,0.09515960338543146,-0.5876905141253099,0.04715726247821067
related_fulfilling,-0.0015456353944003304,0.04316068237207136,0.9714329105087461,-0.08613901839183298,0.08304774760303231
related_fulfilling:GenderGroup[T.Male],0.049898492216672335,0.06692143099960118,0.4558921686621147,-0.08126510233642828,0.18106208676977295
related_fulfilling:GenderGroup[T.Non-binary/Prefer not to say],0.11912230564822711,0.15461506711173997,0.4410363510805133,-0.18391765735802662,0.42216226865448087
related_not_close,-0.16163856032857488,0.022759288279431307,1.2288233614473718e-12,-0.2062459456700248,-0.11703117498712494
related_not_close:GenderGroup[T.Male],0.009200247308040681,0.03276123041063991,0.7788428769103146,-0.055010584386031916,0.07341107900211329
related_not_close:GenderGroup[T.Non-binary/Prefer not to say],0.22918627453403864,0.0981980044167823,0.019599917656198354,0.03672172252344019,0.4216508265446371
enjoyment_fun,0.25156516655526023,0.046597038883018714,6.711160059989726e-08,0.16023664855833103,0.34289368455218944
enjoyment_fun:GenderGroup[T.Male],0.020993261788910988,0.07241763623100402,0.7718991960213607,-0.12094269706937981,0.16292922064720178
enjoyment_fun:GenderGroup[T.Non-binary/Prefer not to say],-0.10451994317635149,0.1889869706551762,0.5802266401436351,-0.4749275992078249,0.2658877128551219
enjoyment_attention,-0.005579553795058997,0.024490551793009973,0.8197824863108011,-0.05358015327087139,0.042421045680753396
enjoyment_attention:GenderGroup[T.Male],-0.06306563217657261,0.0357885080031854,0.07803964927546714,-0.13320981892323946,0.00707855457009425
enjoyment_attention:GenderGroup[T.Non-binary/Prefer not to say],-0.07835842178142423,0.09111169863726871,0.38977475861714816,-0.256934069680738,0.10021722611788957
enjoymen_boring,-0.09322097653695036,0.0283856645436296,0.0010231352982302637,-0.14885585671969997,-0.03758609635420075
enjoymen_boring:GenderGroup[T.Male],0.000219873041184951,0.04342756074747939,0.9959603405676561,-0.08489658196029999,0.0853363280426699
enjoymen_boring:GenderGroup[T.Non-binary/Prefer not to say],0.011315980079955745,0.11591000688742471,0.9222282521959099,-0.2158634588671863,0.23849541902709778
enjoyment_enjoyed,0.16218146646922724,0.040060179108205064,5.1558856069007244e-05,0.08366495820292141,0.24069797473553306
enjoyment_enjoyed:GenderGroup[T.Male],-0.03497504276307892,0.06242217836017157,0.5752759611510676,-0.15732026418555073,0.08737017865939288
enjoyment_enjoyed:GenderGroup[T.Non-binary/Prefer not to say],0.04911303590133376,0.13229887679647598,0.7104677847192385,-0.21018799781486103,0.30841406961752854
extrinsic_avoid,-0.0383948209210338,0.018545189462766617,0.0384206506476145,-0.07474272435452808,-0.002046917487539518
extrinsic_avoid:GenderGroup[T.Male],-0.0076234941699280705,0.025969498438430057,0.7690974348226798,-0.05852277580582016,0.043275787465964013
extrinsic_avoid:GenderGroup[T.Non-binary/Prefer not to say],-0.10643939015340934,0.06992167827624503,0.12794245565399864,-0.24348336131344628,0.030604581006627607
extrinsic_forget,-0.011357962965245346,0.020373933571115815,0.5772027895653977,-0.051290138988043875,0.02857421305755318
extrinsic_forget:GenderGroup[T.Male],-0.02491915009737721,0.030892485897981502,0.41987326332996067,-0.08546730985033246,0.035629009655578046
extrinsic_forget:GenderGroup[T.Non-binary/Prefer not to say],-0.04254744640188463,0.09079886062257361,0.6393626611424441,-0.22050994305940103,0.13541505025563177
extrinsic_compelled,-0.013166543070535462,0.017535051548484684,0.4527309338641258,-0.04753461257261875,0.021201526431547824
extrinsic_compelled:GenderGroup[T.Male],0.028823877825478916,0.025149767936104978,0.25175823905449457,-0.020468761548827086,0.07811651719978492
extrinsic_compelled:GenderGroup[T.Non-binary/Prefer not to say],0.06893239003074368,0.07001991274424438,0.3248852713455682,-0.06830411714861244,0.2061688972100998
extrinsic_escape,-0.016455126518287552,0.021175793234997436,0.43711599948285274,-0.05795891860294945,0.025048665566374348
extrinsic_escape:GenderGroup[T.Male],0.050231378531595934,0.03272706393373123,0.12481884252756703,-0.013912488098257021,0.1143752451614489
extrinsic_escape:GenderGroup[T.Non-binary/Prefer not to say],0.1754927137385219,0.08734932857094518,0.04452752782591755,0.004291175665713798,0.34669425181133
Group Var,1.0,6612433.5697677,0.9999998793357162,-12960130.646908313,12960132.646908313
